TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME	DATA_TYPE
productdb	product	id	bigint
productdb	product	description	varchar
productdb	product	name	varchar
productdb	product	price	double
productdb	product	image_url	varchar
urbanvogue_auth	users	id	bigint
urbanvogue_auth	users	email	varchar
urbanvogue_auth	users	password	varchar
urbanvogue_auth	users	role	enum
urbanvogue_auth	users	username	varchar
urbanvogue_inventory	inventory	id	bigint
urbanvogue_inventory	inventory	available_quantity	int
urbanvogue_inventory	inventory	product_id	bigint
urbanvogue_inventory	inventory	reserved_quantity	int
urbanvogue_order	order_items	id	bigint
urbanvogue_order	order_items	price	double
urbanvogue_order	order_items	product_id	bigint
urbanvogue_order	order_items	quantity	int
urbanvogue_order	order_items	order_id	bigint
urbanvogue_order	orders	id	bigint
urbanvogue_order	orders	created_at	datetime
urbanvogue_order	orders	status	varchar
urbanvogue_order	orders	total_amount	double
urbanvogue_order	orders	user_id	bigint
urbanvogue_order	orders	user_email	varchar
urbanvogue_payment	payments	id	bigint
urbanvogue_payment	payments	amount	double
urbanvogue_payment	payments	created_at	datetime
urbanvogue_payment	payments	order_id	bigint
urbanvogue_payment	payments	payment_method	varchar
urbanvogue_payment	payments	payment_status	varchar
urbanvogue_payment	payments	stripe_session_id	varchar
urbanvogue_payment	payments	transaction_id	varchar
